range / 1;coarse / 1;gain / 1;tune;freq / Hz;Urms(P32) / V;Urms(P40) / V;Urms(P53) / V;Urms(P58) / V;Uavg(P32) / V;Uavg(P40) / V;Uavg(P53) / V;Uavg(P58) / V
0;12;611;3677;26911.147;2.374431;0.3820592;0.08371796;0.1206407;0.04227417;-0.01123779;0.007792663;0.1235451
0;12;1122;100;26498.098;0.0659705;9.9E+037;0.08361602;0.07059944;0.00440802;9.9E+037;0.006755981;0.06580261
0;12;1122;611;26391.952;0.4068379;0.730807;0.0820698;0.05934988;-0.02321045;-0.04321045;0.007541809;0.05635452
0;12;1122;1122;26367.654;0.7404419;0.7229853;0.0820066;0.05224396;-0.07464904;0.03123779;0.006688843;0.04993317
0;12;1122;1633;26302.17;1.071753;0.7190852;0.08445774;0.05197761;-0.08180603;0.02755859;0.008311157;0.04951508
0;12;1122;2144;26236.595;1.422476;0.7262419;0.09574737;0.0488428;0.03411377;-0.04133789;0.007123718;0.04772568
0;12;1122;2655;26170.771;1.716836;0.7046259;0.08278998;0.04288118;-0.0139801;-0.01123779;0.00749176;0.038311
0;12;1122;3166;26104.811;2.122286;0.7252244;0.08188212;0.03478554;-0.1504346;0.03505005;0.006739197;0.03016724
0;12;1122;3677;26038.659;2.393968;0.7025381;0.08058938;0.03324682;0.01919739;-0.01799316;0.007792663;0.02956528
0;12;1633;100;25610.066;0.06627398;9.9E+037;0.08162645;0.05135293;0.00159198;9.9E+037;0.007157288;-0.04892975
0;12;1633;611;25519.082;0.407974;1.066087;0.08250874;0.05764614;-0.0522406;0.02187256;0.007374573;-0.0503511
0;12;1633;1122;25483.977;0.7460899;1.062275;0.08418207;0.06512915;-0.05866211;0.02341186;0.007575378;-0.06287628
0;12;1633;1633;25420.698;1.069987;1.045941;0.08383971;0.07158267;-0.04267578;0.005953369;0.007625427;-0.07003342
0;12;1633;2144;25357.314;1.411435;1.049282;0.08267477;0.07177398;-0.02127075;-0.009632568;0.007458191;-0.07008362
0;12;1633;2655;25293.704;1.751073;1.046783;0.0820596;0.07248342;-0.01812683;-0.008027344;0.007207336;-0.07053512
0;12;1633;3166;25229.956;2.075622;1.035413;0.08296753;0.07861681;-0.03725769;0.0006018066;0.008026733;-0.0774414
